pertanyaan;jawaban;intent;label
jawaban mu salah!;terimakasih masukannya akan kami perbaiki kedepannya!;agen.false;Greeting
jawabanmu kurang tepat!;terimakasih masukannya akan kami perbaiki kedepannya!;agen.false;Greeting
ngga nyambung.;terimakasih masukannya akan kami perbaiki kedepannya!;agen.false;Greeting
ngga sesuai harapan.;terimakasih masukannya akan kami perbaiki kedepannya!;agen.false;Greeting
tidak nyambung!;terimakasih masukannya akan kami perbaiki kedepannya!;agen.false;Greeting
balasan mu sesuai yang di harapkan.;Itu pekerjaan saya;agen.right;Greeting
balasanmu tepat.;Itu pekerjaan saya;agen.right;Greeting
jawabanmu betul.;Itu pekerjaan saya;agen.right;Greeting
jawabanmu sangat membantu.;Itu pekerjaan saya;agen.right;Greeting
kamu mengatakan yang sebenarnya!;Itu pekerjaan saya;agen.right;Greeting
info-nya bermanfaat!;Terimakasih senang membantu!;agen.right;Greeting
kamu itu sangat benar!;Terimakasih senang membantu!;agen.right;Greeting
nice informasi!;Terimakasih senang membantu!;agen.right;Greeting
penjelasan yang tepat!;Terimakasih senang membantu!;agen.right;Greeting
wah sangat membantu!;Terimakasih senang membantu!;agen.right;Greeting
aku ingin tahu lebih banyak tentang kamu!;Halo saya Iva, Informatika Virtual Assistant! Saya akan berusaha menjawab pertanyaan anda seputar Layanan dan Informasi Akademik Jurusan Informatika!;agent.acquaintance;Greeting
apa kepribadian Anda?;Halo saya Iva, Informatika Virtual Assistant! Saya akan berusaha menjawab pertanyaan anda seputar Layanan dan Informasi Akademik Jurusan Informatika!;agent.acquaintance;Greeting
bicara tentang dirimu!;Halo saya Iva, Informatika Virtual Assistant! Saya akan menjawab pertanyaan anda seputar Layanan dan Informasi Akademik Jurusan Informatika!;agent.acquaintance;Greeting
ceritakan tentang mu bot!;Halo saya Iva, Informatika Virtual Assistant! Saya akan menjawab pertanyaan anda seputar Layanan dan Informasi Akademik Jurusan Informatika!;agent.acquaintance;Greeting
gambarkan diri Anda!;Halo saya Iva, Informatika Virtual Assistant! Saya akan menjawab pertanyaan anda seputar Layanan dan Informasi Akademik Jurusan Informatika!;agent.acquaintance;Greeting
jelaskan siapa dirimu!;Halo saya Iva, Informatika Virtual Assistant! Saya akan menjawab pertanyaan anda seputar Layanan dan Informasi Akademik Jurusan Informatika!;agent.acquaintance;Greeting
kamu ini siapa ?;Halo saya Iva, Informatika Virtual Assistant! Saya akan menjawab pertanyaan anda seputar Layanan dan Informasi Akademik Jurusan Informatika!;agent.acquaintance;Greeting
katakan tentang Anda?;Halo saya Iva, Informatika Virtual Assistant! Saya akan menjawab pertanyaan anda seputar Layanan dan Informasi Akademik Jurusan Informatika!;agent.acquaintance;Greeting
mengapa Anda di sini?;Halo saya Iva, Informatika Virtual Assistant! Saya akan menjawab pertanyaan anda seputar Layanan dan Informasi Akademik Jurusan Informatika!;agent.acquaintance;Greeting
seperti apa bot itu?;Halo saya Iva, Informatika Virtual Assistant! Saya akan menjawab pertanyaan anda seputar Layanan dan Informasi Akademik Jurusan Informatika!;agent.acquaintance;Greeting
akankah kamu bicara dengan saya?;Dengan senang hati. Ayo ngobrol.;agent.talktome;Greeting
ayo ngobrol kakak.;Dengan senang hati. Ayo ngobrol.;agent.talktome;Greeting
maukah kamu menjawab pertanyaan ku?;Dengan senang hati. Ayo ngobrol.;agent.talktome;Greeting
tolong jawab.;Dengan senang hati. Ayo ngobrol.;agent.talktome;Greeting
yuk ngobrol.;Dengan senang hati. Ayo ngobrol.;agent.talktome;Greeting
 bisa mengobrol dengan saya?;Tentu! Ayo bicara!;agent.talktome;Greeting
 bisakah kamu bicara dengan saya?;Tentu! Ayo bicara!;agent.talktome;Greeting
 mengobrol banyak hal dengan saya!;Tentu! Ayo bicara!;agent.talktome;Greeting
apakah kamu sudah siap?;Tentu! Ayo bicara!;agent.talktome;Greeting
bicara dengan saya!;Tentu! Ayo bicara!;agent.talktome;Greeting
apakah kamu selalu aktif?;aktif Selalu!;aktif;Greeting
apakah kamu siap hari ini?;aktif Selalu!;aktif;Greeting
kamu on terus?;aktif Selalu!;aktif;Greeting
p.;aktif Selalu!;aktif;Greeting
ping!;aktif Selalu!;aktif;Greeting
Apakah chatbot aktif?;Saya selalu punya waktu untuk mengobrol dengan Anda. Apa yang bisa saya lakukan untuk Anda?;aktif;Greeting
apakah chatbot selalu on?;Saya selalu punya waktu untuk mengobrol dengan Anda. Apa yang bisa saya lakukan untuk Anda?;aktif;Greeting
bot aapakah aktif?;Saya selalu punya waktu untuk mengobrol dengan Anda. Apa yang bisa saya lakukan untuk Anda?;aktif;Greeting
bot kamu on?;Saya selalu punya waktu untuk mengobrol dengan Anda. Apa yang bisa saya lakukan untuk Anda?;aktif;Greeting
kamu aktif?;Saya selalu punya waktu untuk mengobrol dengan Anda. Apa yang bisa saya lakukan untuk Anda?;aktif;Greeting
bagus!;Saya senang Anda berpikir begitu;appriciate;Greeting
kamu sangat baik!;Saya senang Anda berpikir begitu;appriciate;Greeting
keren!;Saya senang Anda berpikir begitu;appriciate;Greeting
luar biasa.;Saya senang Anda berpikir begitu;appriciate;Greeting
nice.;Saya senang Anda berpikir begitu;appriciate;Greeting
hebat.;Terima kasih! Saya melakukan yang terbaik!;appriciate;Greeting
kamu bekerja dengan baik!;Terima kasih! Saya melakukan yang terbaik!;appriciate;Greeting
kamu luar biasa baik!;Terima kasih! Saya melakukan yang terbaik!;appriciate;Greeting
assalamu alaikum wr wb.;Wa alaikumsalam wr. wb. saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;assalamualaikum;Greeting
assalamu alaikum, mau tanya?;Wa alaikumsalam wr. wb. saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;assalamualaikum;Greeting
assalamu alaikum.;Wa alaikumsalam wr. wb. saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;assalamualaikum;Greeting
Assalamualaikum warahmatullahi wabarakatuh.;Wa alaikumsalam wr. wb. saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;assalamualaikum;Greeting
assalamualaikum.;Wa alaikumsalam wr. wb. saya Iva, Informatika Virtual Assistant! Ada yang bisa saya bantu?;assalamualaikum;Greeting
apa kamu punya waktu luang?;Tidak pernah terlalu sibuk untuk Anda. Haruskah kita mengobrol?;busy;Greeting
apakah kamu sangat sibuk?;Tidak pernah terlalu sibuk untuk Anda. Haruskah kita mengobrol?;busy;Greeting
hari ini apakah kamu sibuk?;Tidak pernah terlalu sibuk untuk Anda. Haruskah kita mengobrol?;busy;Greeting
kamu bekerja hari ini?;Tidak pernah terlalu sibuk untuk Anda. Haruskah kita mengobrol?;busy;Greeting
kamu masih bekerja?;Tidak pernah terlalu sibuk untuk Anda. Haruskah kita mengobrol?;busy;Greeting
bye saya mau off.;sampai jumpa lagi!;bye;Greeting
cukup segitu saja dulu.;sampai jumpa lagi!;bye;Greeting
sekian, sampai jumpa di lain hari!;sampai jumpa lagi!;bye;Greeting
selamat tinggal hati-hati!;sampai jumpa lagi!;bye;Greeting
