pertanyaan;jawaban;kategori
bagaimana syarat dan prosedur mendapatkan ijazah kelulusan?;"Ketentuan Ijazah dan Transkrip Nilai:
Ijazah Sarjana dikeluarkan oleh UPN Veteran Yogyakarta.
1 Ijazah dapat diambil di Biro Administrasi Akademik, setelah mengikuti wisuda, dengan ketentuan:
a. Harus diambil sendiri oleh pemilik Ijazah atau diwakilkan dengan surat kuasa bermaterai kartu identitas terlampir.
b. Menyerahkan:
- Surat Keterangan mengikuti Wisuda.
- Surat Keterangan bukti pengembalian toga.
- Surat Keterangan bebas pustaka.
- Surat Keterangan untuk mengambil Ijazah dari Fakultas atau Program Studi.
3. Ijazah asli yang tidak diambil dalam waktu lebih dari 3 (tiga) bulan, apabila terjadi kerusakan bukan
menjadi tanggung jawab Universitas.
4. Pengambilan transkrip nilai dilaksanakan setelah Wisuda, di Fakultas Teknik Industri, dengan
menyerahkan salinan ijazah.
5. Legalisir salinan Ijazah dan transkrip nilai dilakukan di Fakultas Teknik Industri. ";administratif
berkas-berkas yang harus disiapkan untuk ambil ijazah dan transkrip akhir?;"Ketentuan Ijazah dan Transkrip Nilai:
Ijazah Sarjana dikeluarkan oleh UPN Veteran Yogyakarta.
1 Ijazah dapat diambil di Biro Administrasi Akademik, setelah mengikuti wisuda, dengan ketentuan:
a. Harus diambil sendiri oleh pemilik Ijazah atau diwakilkan dengan surat kuasa bermaterai kartu identitas terlampir.
b. Menyerahkan:
- Surat Keterangan mengikuti Wisuda.
- Surat Keterangan bukti pengembalian toga.
- Surat Keterangan bebas pustaka.
- Surat Keterangan untuk mengambil Ijazah dari Fakultas atau Program Studi.
3. Ijazah asli yang tidak diambil dalam waktu lebih dari 3 (tiga) bulan, apabila terjadi kerusakan bukan
menjadi tanggung jawab Universitas.
4. Pengambilan transkrip nilai dilaksanakan setelah Wisuda, di Fakultas Teknik Industri, dengan
menyerahkan salinan ijazah.
5. Legalisir salinan Ijazah dan transkrip nilai dilakukan di Fakultas Teknik Industri. ";administratif
kapan ijazah dan transkrip nilai akhir bisa diambil?;"Ketentuan Ijazah dan Transkrip Nilai:
Ijazah Sarjana dikeluarkan oleh UPN Veteran Yogyakarta.
1 Ijazah dapat diambil di Biro Administrasi Akademik, setelah mengikuti wisuda, dengan ketentuan:
a. Harus diambil sendiri oleh pemilik Ijazah atau diwakilkan dengan surat kuasa bermaterai kartu identitas terlampir.
b. Menyerahkan:
- Surat Keterangan mengikuti Wisuda.
- Surat Keterangan bukti pengembalian toga.
- Surat Keterangan bebas pustaka.
- Surat Keterangan untuk mengambil Ijazah dari Fakultas atau Program Studi.
3. Ijazah asli yang tidak diambil dalam waktu lebih dari 3 (tiga) bulan, apabila terjadi kerusakan bukan
menjadi tanggung jawab Universitas.
4. Pengambilan transkrip nilai dilaksanakan setelah Wisuda, di Fakultas Teknik Industri, dengan
menyerahkan salinan ijazah.
5. Legalisir salinan Ijazah dan transkrip nilai dilakukan di Fakultas Teknik Industri. ";administratif
saya sudah pulang kampung halaman apakah pengambilan ijazah bisa diwakilkan?;"Ketentuan Ijazah dan Transkrip Nilai:
Ijazah Sarjana dikeluarkan oleh UPN Veteran Yogyakarta.
1 Ijazah dapat diambil di Biro Administrasi Akademik, setelah mengikuti wisuda, dengan ketentuan:
a. Harus diambil sendiri oleh pemilik Ijazah atau diwakilkan dengan surat kuasa bermaterai kartu identitas terlampir.
b. Menyerahkan:
- Surat Keterangan mengikuti Wisuda.
- Surat Keterangan bukti pengembalian toga.
- Surat Keterangan bebas pustaka.
- Surat Keterangan untuk mengambil Ijazah dari Fakultas atau Program Studi.
3. Ijazah asli yang tidak diambil dalam waktu lebih dari 3 (tiga) bulan, apabila terjadi kerusakan bukan
menjadi tanggung jawab Universitas.
4. Pengambilan transkrip nilai dilaksanakan setelah Wisuda, di Fakultas Teknik Industri, dengan
menyerahkan salinan ijazah.
5. Legalisir salinan Ijazah dan transkrip nilai dilakukan di Fakultas Teknik Industri. ";administratif
waktu pengambilan ijazah dan transkrip nilai akhir.;"Ketentuan Ijazah dan Transkrip Nilai:
Ijazah Sarjana dikeluarkan oleh UPN Veteran Yogyakarta.
1 Ijazah dapat diambil di Biro Administrasi Akademik, setelah mengikuti wisuda, dengan ketentuan:
a. Harus diambil sendiri oleh pemilik Ijazah atau diwakilkan dengan surat kuasa bermaterai kartu identitas terlampir.
b. Menyerahkan:
- Surat Keterangan mengikuti Wisuda.
- Surat Keterangan bukti pengembalian toga.
- Surat Keterangan bebas pustaka.
- Surat Keterangan untuk mengambil Ijazah dari Fakultas atau Program Studi.
3. Ijazah asli yang tidak diambil dalam waktu lebih dari 3 (tiga) bulan, apabila terjadi kerusakan bukan
menjadi tanggung jawab Universitas.
4. Pengambilan transkrip nilai dilaksanakan setelah Wisuda, di Fakultas Teknik Industri, dengan
menyerahkan salinan ijazah.
5. Legalisir salinan Ijazah dan transkrip nilai dilakukan di Fakultas Teknik Industri. ";administratif
berapa banyak berkas/lembar KRP yang harus di legalisasi/disahkan?;Pengesahakan KRP oleh TU jurusan Informatika dibutuhkan 5 rangkap KRP telah ditandatangani dosen wali dan ditempel foto 3X4.;administratif
dimana saya bisa minta cap pengesahkan untuk KRP saya?;Pengesahakan KRP oleh TU jurusan Informatika dibutuhkan 5 rangkap KRP telah ditandatangani dosen wali dan ditempel foto 3X4.;administratif
foto KRP hitam putih atau berwarna dan apa ukurannya?;Pengesahakan KRP oleh TU jurusan Informatika dibutuhkan 5 rangkap KRP telah ditandatangani dosen wali dan ditempel foto 3X4.;administratif
kalau mau stempel krp dimana ya pak? ;Pengesahakan KRP oleh TU jurusan Informatika dibutuhkan 5 rangkap KRP telah ditandatangani dosen wali dan ditempel foto 3X4.;administratif
KRP yang disahkan/dicap berapa rangkap?;Pengesahakan KRP oleh TU jurusan Informatika dibutuhkan 5 rangkap KRP telah ditandatangani dosen wali dan ditempel foto 3X4.;administratif
